dataset,rep,M,S,MS,K_star,rf_acc,rf_rmin,rf_rmaj,Kstar_acc,Kstar_rmin,Kstar_rmaj,K0_acc,K0_rmin,K0_rmaj,K10_acc,K10_rmin,K10_rmaj,K20_acc,K20_rmin,K20_rmaj,K30_acc,K30_rmin,K30_rmaj
parkinsons,14,0.088235,0.165470,0.014600,20,0.966102,0.866667,1.000000,0.949153,0.800000,1.000000,0.966102,0.866667,1.000000,0.966102,0.866667,1.000000,0.949153,0.800000,1.000000,0.949153,0.800000,1.000000
parkinsons,15,0.088235,0.159827,0.014102,0,0.864407,0.666667,0.931818,0.881356,0.733333,0.931818,0.881356,0.733333,0.931818,0.898305,0.800000,0.931818,0.898305,0.800000,0.931818,0.898305,0.800000,0.931818
parkinsons,16,0.058824,0.132474,0.007793,0,0.881356,0.600000,0.977273,0.881356,0.600000,0.977273,0.881356,0.600000,0.977273,0.881356,0.600000,0.977273,0.881356,0.600000,0.977273,0.881356,0.600000,0.977273
parkinsons,17,0.102941,0.132082,0.013597,0,0.915254,0.800000,0.954545,0.915254,0.800000,0.954545,0.915254,0.800000,0.954545,0.915254,0.800000,0.954545,0.915254,0.800000,0.954545,0.915254,0.800000,0.954545
parkinsons,18,0.066176,0.178298,0.011799,0,0.915254,0.733333,0.977273,0.949153,0.866667,0.977273,0.949153,0.866667,0.977273,0.949153,0.866667,0.977273,0.949153,0.866667,0.977273,0.949153,0.866667,0.977273
parkinsons,19,0.110294,0.041452,0.004572,30,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273
parkinsons,20,0.095588,0.198963,0.019018,0,0.881356,0.600000,0.977273,0.881356,0.600000,0.977273,0.881356,0.600000,0.977273,0.881356,0.600000,0.977273,0.898305,0.666667,0.977273,0.898305,0.666667,0.977273
parkinsons,21,0.088235,0.076087,0.006714,20,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273,0.932203,0.800000,0.977273
parkinsons,22,0.058824,0.208060,0.012239,0,0.898305,0.733333,0.954545,0.898305,0.733333,0.954545,0.898305,0.733333,0.954545,0.898305,0.733333,0.954545,0.915254,0.800000,0.954545,0.915254,0.800000,0.954545
parkinsons,23,0.088235,0.200852,0.017722,0,0.898305,0.733333,0.954545,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.915254,0.733333,0.977273,0.898305,0.733333,0.954545,0.881356,0.733333,0.931818
